,Character,Series,Release Date,Uhrzeit,Wishlist
387,Louise Balze,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",05.10.2023,17:10,
388,Hizaki Gamma,Holostars,05.10.2023,17:20,
389,Antonina,Neural Cloud,05.10.2023,17:40,
390,Selka Zuberg,Sword Art Online: Alicization,05.10.2023,17:50,
391,Mereoleona Vermillion,Black Clover,05.10.2023,18:10,❤️ 123
392,Faris Nyannyan,Steins;Gate,05.10.2023,18:20,
393,Jinora,The Legend of Korra,05.10.2023,18:50,
394,Tatsuhiko Aota,Slam Dunk,05.10.2023,19:10,
395,Enishi Yukishiro,Rurouni Kenshin: Tsuiokuhen,05.10.2023,19:30,
396,Tsuneo Suzukawa,"Josee, the Tiger and the Fish",05.10.2023,19:40,
397,Miwa Makitaka,Police in a Pod,05.10.2023,20:00,
398,Nitocris,Fate/Grand Order,05.10.2023,20:10,
399,Pepe Iglesias,Megalo Box,05.10.2023,20:40,
400,Mio Chibana,Umibe no Étranger,05.10.2023,21:00,❤️ 119
401,Tohru,Miss Kobayashi's Dragon Maid,05.10.2023,21:30,❤️ 558
402,Sarah Kazuno,Love Live! Sunshine!!,05.10.2023,21:40,
403,Chikaru Minamoto,Strawberry Panic,05.10.2023,22:00,
404,Goro Akechi,Persona 5 the Animation,05.10.2023,22:10,❤️ 229
405,Hijiri Koganei,Romantic Killer,05.10.2023,23:00,
406,Clotho,Black Summoner,05.10.2023,23:30,
407,Rinko Shirokane,BanG Dream!,05.10.2023,23:50,
408,Kaworu Nagisa,Neon Genesis Evangelion,06.10.2023,0:00,❤️ 271
409,Roko Sekino,Dropout Idol Fruit Tart,06.10.2023,0:20,
410,Dark Schneider,Bastard!!,06.10.2023,0:50,
411,Eudial,Sailor Moon S,06.10.2023,1:00,
412,Itachi Uchiha,Naruto,06.10.2023,1:20,❤️ 2506
413,Christa Lenz,Attack on Titan,06.10.2023,1:30,❤️ 116
414,Hajime Iwaizumi,Haikyuu!!,06.10.2023,1:50,
415,Judar,Magi: The Kingdom of Magic,06.10.2023,2:10,
416,Guri,Love Tyrant,06.10.2023,2:20,
417,Wolfgang Grimmer,Monster,06.10.2023,2:40,
418,Franklin,Hunter x Hunter,06.10.2023,2:50,
419,Cécile Croomy,Code Geass: Lelouch of the Rebellion,06.10.2023,3:10,
420,Fuga,Senran Kagura: New Wave,06.10.2023,3:20,
421,Haruhi Fujioka,Ouran High School Host Club,06.10.2023,3:40,❤️ 180
422,Herrscher of Sentience,Honkai Impact 3rd,06.10.2023,3:50,❤️ 280
423,Sergiad Cowen,Log Horizon,06.10.2023,4:10,
424,Kayo,Mononoke,06.10.2023,4:20,
425,Ruri Tsukishiro,IRODUKU: The World in Colors,06.10.2023,4:40,
426,Manaia Matawhaura Hato,Luminous Witches,06.10.2023,4:50,
427,Da Vinci-chan,Fate/Grand Order,06.10.2023,5:20,
428,Tibarn,Fire Emblem: Path of Radiance,06.10.2023,5:40,
429,Marie Fou Lafan,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,06.10.2023,6:00,
430,Celty Sturluson,Durarara!!,06.10.2023,6:10,❤️ 117
431,Misa Amane,Death Note,06.10.2023,6:30,❤️ 545
432,Ikalgo,Hunter x Hunter (2011),06.10.2023,6:40,
433,Setsuna Shiga,Black Summoner,06.10.2023,7:00,
434,Sea Otter,Heaven's Design Team,06.10.2023,7:10,
435,Minato Aqua,Hololive: Holo no Graffiti,06.10.2023,7:30,❤️ 228
436,Nodoka Yagi,Selection Project,06.10.2023,7:40,
437,John Brown,Ghost Hunt,06.10.2023,8:00,
438,Sailor Mars,Sailor Moon,06.10.2023,8:10,❤️ 160
439,Miri Unasaka,Buddy Daddies,06.10.2023,8:30,❤️ 76
440,Morgiana,Magi: The Kingdom of Magic,06.10.2023,8:40,❤️ 157
441,Brian Roscoe,Gosick,06.10.2023,9:00,
442,Hawks,My Hero Academia 4,06.10.2023,9:20,❤️ 397
443,Sabo,One Piece,06.10.2023,9:30,❤️ 318
444,Sayo,Seiyuu's Life!,06.10.2023,9:50,
445,Shinra Kusakabe,Fire Force,06.10.2023,10:00,❤️ 555
446,Gon Freecss,Hunter x Hunter,06.10.2023,10:20,❤️ 1489
447,Makoto Yuuki,Persona 3 the Movie 2: Midsummer Knight's Dream,06.10.2023,10:50,❤️ 136
448,Ryou Sayama,Code Geass Gaiden: Boukoku no Akito,06.10.2023,11:00,
449,Junko Enoshima,Danganronpa: The Animation,06.10.2023,11:20,❤️ 282
450,Kyohei Misumi,Burning Kabaddi,06.10.2023,11:30,
451,Enta Jinnai,Sarazanmai,06.10.2023,11:50,
452,Yoshichika Murase,D_Cide Traumerei the Animation,06.10.2023,12:00,
453,Mikan Sakura,Gakuen Alice,06.10.2023,12:20,
454,Kyoujurou Rengoku,Demon Slayer: Kimetsu no Yaiba,06.10.2023,12:40,❤️ 2416
455,Kasumi,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",06.10.2023,12:50,
456,Miyuki Sakuragi,The Yakuza's Guide to Babysitting,06.10.2023,13:10,
457,Arashi Narukami,Ensemble Stars!,06.10.2023,13:20,
458,Kakeru Sengoku,Horimiya,06.10.2023,13:40,
459,Hikari Sakishima,Nagi no Asukara,06.10.2023,13:50,
460,Miko Yotsuya,Mieruko-chan,06.10.2023,14:10,❤️ 562
461,Mira,For Whom the Alchemist Exists,06.10.2023,14:20,
462,Guy,A3! Season Autumn & Winter,06.10.2023,14:50,
463,Dia Viecone,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,06.10.2023,15:10,❤️ 80
464,Sakura Miko,Hololive: Holo no Graffiti,06.10.2023,15:20,❤️ 123
465,Feitan,Hunter x Hunter,06.10.2023,15:40,❤️ 262
466,Veliona,Honkai Impact 3rd,06.10.2023,16:00,❤️ 165
467,Minori Kushieda,Toradora!,06.10.2023,16:10,
468,Secre Swallowtail,Black Clover,06.10.2023,16:30,❤️ 342
469,Shu Itsuki,Ensemble Stars!,06.10.2023,16:40,
470,Yukinojou Tachibana,King of Prism by Pretty Rhythm,06.10.2023,17:10,
471,Sho Kusakabe,Fire Force,06.10.2023,17:30,
472,Katsumi Amako,Orient,06.10.2023,17:40,
473,Takumi Hira,Tsuki ga Kirei,06.10.2023,18:00,
474,Mako,The Legend of Korra,06.10.2023,18:10,
475,Yui,The House of the Lost on the Cape,06.10.2023,18:30,
476,Black Maria,One Piece,06.10.2023,18:40,
477,Yohmei Asakura,Shaman King,06.10.2023,19:00,
478,Helena Blavatsky,Fate/Grand Order,06.10.2023,19:10,
479,Jyuto Iruma,Hypnosis Mic: Division Rap Battle - Rhyme Anima,06.10.2023,19:30,
480,Tatsumi Kazehaya,Ensemble Stars!!,06.10.2023,19:50,
481,Rintaro Kuma,DREAM!ing,06.10.2023,20:00,
482,Bauks,Dorohedoro,06.10.2023,20:30,
483,Jun Tao,Shaman King,06.10.2023,20:50,
484,Monako Moriguchi,Fuuto PI,06.10.2023,21:20,
485,Barbara Parker,Little Witch Academia,06.10.2023,21:30,
486,Sweden,Hetalia: Axis Powers,06.10.2023,21:50,
487,Ryou Fujibayashi,Clannad,06.10.2023,22:00,
488,Anos Voldigoad,Maou Gakuin no Futekigousha,06.10.2023,22:20,❤️ 322
489,Miyabi Hotaka,Absolute Duo,06.10.2023,22:30,
490,Green Heart,Hyperdimension Neptunia,06.10.2023,22:50,
491,Enrico Pucci,JoJo's Bizarre Adventure: Stone Ocean,06.10.2023,23:10,❤️ 241
492,Maia,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,06.10.2023,23:20,
493,Thor,Marvel Disk Wars: The Avengers,06.10.2023,23:40,
494,Shihou Kimizuki,Seraph of the End: Battle in Nagoya,07.10.2023,0:10,
495,Brad Beams,HELIOS Rising Heroes,07.10.2023,0:20,
496,Yutaro Tsukayama,Rurouni Kenshin,07.10.2023,0:40,
497,Nishikiyama Akira,Yakuza,07.10.2023,0:50,
498,Hiroshi Tanegashima,The Orbital Children,07.10.2023,1:20,
499,Tail Blue,Gonna be the Twin-Tail!!,07.10.2023,1:40,
500,Floki,Vinland Saga,07.10.2023,1:50,
501,Clockmon,Digimon Tamers,07.10.2023,2:10,
502,Runner,The Animatrix,07.10.2023,2:30,
503,Ao Yodogawa,Selection Project,07.10.2023,2:40,
504,Ristarte,Cautious Hero: The Hero Is Overpowered but Overly Cautious,07.10.2023,3:10,
505,Lewyn,Fire Emblem: Genealogy of the Holy War,07.10.2023,3:30,
506,Daburanda,Doraemon: Nobita and the Haunts of Evil,07.10.2023,3:40,
507,South Italy,Hetalia: Axis Powers,07.10.2023,4:00,
508,Ayame Sohma,Fruits Basket,07.10.2023,4:10,
509,Arata Uzuki,Tsukiuta. The Animation,07.10.2023,4:40,
510,Jinx,Arcane,07.10.2023,5:00,❤️ 1764
511,Michael,Shaman King,07.10.2023,5:10,
512,Iwao Shimabukuro,Hajime no Ippo: Rising,07.10.2023,5:50,
513,Nene Yashiro,Toilet-Bound Hanako-kun,07.10.2023,6:20,❤️ 554
514,Milim Nava,That Time I Got Reincarnated as a Slime,07.10.2023,6:30,❤️ 419
515,Aki Rosenthal,Hololive: Holo no Graffiti,07.10.2023,6:50,
516,Collei,Genshin Impact,07.10.2023,7:00,❤️ 136
517,Keqing,Genshin Impact,07.10.2023,7:20,❤️ 1206
518,Raiden Mei,Honkai Impact 3rd,07.10.2023,7:30,❤️ 192
519,Oscar François de Jarjayes,The Rose of Versailles,07.10.2023,8:00,
520,Emu Otori,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,07.10.2023,8:20,❤️ 446
521,Élisabeth II,Parallel World Pharmacy,07.10.2023,8:30,
522,Kyouko Jingu,The Great Jahy Will Not Be Defeated!,07.10.2023,8:50,
523,Zoro Roronoa,One Piece,07.10.2023,9:00,❤️ 5461
524,Coconut,NEKOPARA,07.10.2023,9:20,❤️ 119
525,Zenna Zabi,Mobile Suit Gundam,07.10.2023,9:40,
526,Rikekuma,Rikei ga Koi ni Ochita no de Shoumei shitemita,07.10.2023,9:50,
527,Lala Satalin Deviluke,To Love Ru,07.10.2023,10:10,❤️ 152
528,Kuromi,Onegai My Melody Sukkiri,07.10.2023,10:20,❤️ 294
529,Lilith Aileron,Tales of Destiny,07.10.2023,10:40,
530,Svin Glascheit,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,07.10.2023,10:50,
531,Leif Ericson,Vinland Saga,07.10.2023,11:10,
532,Ojisan,Uncle from Another World,07.10.2023,11:20,
533,Carrot,One Piece,07.10.2023,11:40,❤️ 108
534,Momo Kisaragi,Mekakucity Actors,07.10.2023,11:50,
535,Redtooth,Scissor Seven,07.10.2023,12:10,
536,Subaru Natsuki,Re:ZERO -Starting Life in Another World-,07.10.2023,12:20,❤️ 314
537,Hagumi Kitazawa,BanG Dream!,07.10.2023,12:40,
538,Poseidon,Record of Ragnarok,07.10.2023,13:00,
539,Yin,Darker than Black,07.10.2023,13:30,
540,Akiya Shirakawa,Opera Girl!,07.10.2023,13:40,
541,Jason Ozuma,Hajime no Ippo: The Fighting!,07.10.2023,14:00,
542,Mic,Shaman King,07.10.2023,14:10,
543,Carla,Doraemon: Nobita no Nankyoku Kachi Kochi Daibouken,07.10.2023,14:40,
544,Chico Rodriguez,Mobile Fighter G Gundam,07.10.2023,15:00,
545,Miyako Shirakaba,Blue Reflection Ray,07.10.2023,15:10,
546,Vi,Arcane,07.10.2023,15:30,❤️ 847
547,Dou Niu,Shenmue the Animation,07.10.2023,15:40,
548,Lucifer,Shaman King,07.10.2023,16:00,
549,Sohara Mitsuki,Heaven's Lost Property,07.10.2023,16:20,
550,Chisato Mera,The Disastrous Life of Saiki K.,07.10.2023,16:30,
551,Kenji Fujima,Slam Dunk,07.10.2023,16:50,
552,Akatsuki Minami,My Stepmom's Daughter Is My Ex,07.10.2023,17:00,
553,Kisuke Urahara,Bleach,07.10.2023,17:20,❤️ 455
554,Miku,When Will Ayumu Make His Move?,07.10.2023,17:30,
555,Constanze Amalie von Braunschbank-Albrechtsberger,Little Witch Academia: The Enchanted Parade,07.10.2023,17:50,
556,Ichinose Uruha,Virtual eSports Project,07.10.2023,18:00,
557,Kamui Shiro,Tsubasa Reservoir Chronicle: Tokyo Revelations,07.10.2023,18:20,
558,Greater Demon,Reincarnated as a Sword,07.10.2023,18:50,
559,Dororo,Dororo,07.10.2023,19:00,
560,Tamao Suzumi,Strawberry Panic,07.10.2023,19:20,
561,Mako Toma,Selection Project,07.10.2023,19:40,
562,Shigure Hakka,DREAM!ing,07.10.2023,19:50,
563,Jeanne,The Case Study of Vanitas,07.10.2023,20:20,❤️ 403
564,Shantak,Haiyore! Nyaruko-san,07.10.2023,20:40,
565,Hibiya Amamiya,Mekakucity Actors,07.10.2023,20:50,
566,Ao Gennai,Frame Arms Girl,07.10.2023,21:10,
567,Hyoe,Magical Girl Ore,07.10.2023,21:20,
568,Nina,Beast Tamer,07.10.2023,21:50,
569,Akashic,Miss Kuroitsu from the Monster Development Department,07.10.2023,22:10,
570,Kento Aizome,B-PROJECT: Kodou*Ambitious,07.10.2023,22:20,
571,Shorter Wong,Banana Fish,07.10.2023,22:40,
572,Janet Smith,Mobile Fighter G Gundam,07.10.2023,22:50,
573,Cal Devens,Phantom: Requiem for the Phantom,07.10.2023,23:10,
574,Ichigo Kurosaki,Bleach,07.10.2023,23:30,❤️ 1851
575,Leon Olfa,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,07.10.2023,23:32,
576,Liselotte Arcia,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,07.10.2023,23:32,
577,Seilyn,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,07.10.2023,23:32,
578,Arnheid,Vinland Saga Season 2,07.10.2023,23:32,
579,Olmar,Vinland Saga Season 2,07.10.2023,23:32,
580,Jin Mori,The God of High School,07.10.2023,23:40,❤️ 417
581,Olivia,Fire Emblem Awakening,08.10.2023,0:00,
582,Schwarz Bruder,Mobile Fighter G Gundam,08.10.2023,0:10,
583,Georgie Saikawa,Miss Kobayashi's Dragon Maid,08.10.2023,0:30,
584,Zeke,Attack on Titan 2nd Season,08.10.2023,0:40,❤️ 101
585,Iron Maiden Jeanne,Shaman King,08.10.2023,1:00,
586,Naoto Tachibana,Tokyo Revengers,08.10.2023,1:30,
587,Lilique Kadoka Lipati,Mobile Suit Gundam: The Witch from Mercury,08.10.2023,1:40,
588,Ilvia,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,08.10.2023,2:10,
589,Kyutaro Kugi,Buddy Daddies,08.10.2023,2:30,
590,Ginrei,Senran Kagura: New Wave G Burst,08.10.2023,2:50,
591,Mokona Modoki,Tsubasa Reservoir Chronicle,08.10.2023,3:00,
592,Keppi,Sarazanmai,08.10.2023,3:20,
593,Lyudmila Andreyevna Ruslanova,Luminous Witches,08.10.2023,3:30,
594,Madoka Tanesato,My Stepmom's Daughter Is My Ex,08.10.2023,3:50,
595,Cordelia Gallo,Gosick,08.10.2023,4:00,
596,Alas Ramus,The Devil is a Part-Timer! 2,08.10.2023,4:20,
597,Ninomae Ina'nis,Hololive EN,08.10.2023,4:30,❤️ 709
598,Yukoku Roberu,Holostars,08.10.2023,4:50,
599,Legosi,Beastars,08.10.2023,5:00,❤️ 250
600,Yor Forger,Spy x Family,08.10.2023,5:20,❤️ 4630
601,Pingu,Pingu in the City,08.10.2023,5:30,❤️ 358
602,Kanade Izuru,Holostars,08.10.2023,5:50,
603,Hikoichi Aida,Slam Dunk,08.10.2023,6:10,
604,Urara Shiraishi,Yamada-kun and the Seven Witches,08.10.2023,6:40,❤️ 77
605,Gran,Granblue Fantasy the Animation,08.10.2023,7:40,
606,Charlotte,Fire Emblem Fates,08.10.2023,7:50,
607,Mirko,My Hero Academia 4,08.10.2023,8:10,❤️ 379
608,Anne,Nikke: Goddess of Victory,08.10.2023,8:40,
609,Shin Karino,Kotaro Lives Alone,08.10.2023,8:50,
610,Titan,takt op.Destiny,08.10.2023,9:20,❤️ 114
611,Godoy Haimano,Mobile Suit Gundam: The Witch from Mercury,08.10.2023,10:00,
612,Dlanor A. Knox,Umineko: When They Cry,08.10.2023,10:10,
613,Mai Kawai,Police in a Pod,08.10.2023,10:40,
614,Motoka Nogisaka,Yosuga no Sora,08.10.2023,11:00,
615,Kiyotsune Taira,Heike Monogatari,08.10.2023,11:10,
616,Shouta Aizawa,My Hero Academia,08.10.2023,11:30,❤️ 395
617,Homura,Senran Kagura: Portrait of Girls,08.10.2023,11:40,
618,Amane Kanata,Hololive: Holo no Graffiti,08.10.2023,12:00,
619,Smile,Words Bubble Up Like Soda Pop,08.10.2023,12:10,❤️ 103
620,Shinjirou Hayata,Ultraman,08.10.2023,12:30,
621,Marianne von Edmund,Fire Emblem: Three Houses,08.10.2023,12:40,
622,Sasuke Uchiha,Naruto,08.10.2023,13:00,❤️ 1708
623,Mina,Beast Tamer,08.10.2023,13:20,
624,Hifumi Takimoto,New Game!,08.10.2023,13:30,
625,Ene,Mekakucity Actors,08.10.2023,13:50,
626,Megumegu,#Compass,08.10.2023,14:00,
627,Tris,D_Cide Traumerei,08.10.2023,14:30,
628,June,Avatar: The Last Airbender,08.10.2023,15:00,
629,Seijuro Hiko,Rurouni Kenshin,08.10.2023,15:20,
630,David Eagle,Hajime no Ippo: Rising,08.10.2023,15:30,
631,Lon'qu,Fire Emblem Awakening,08.10.2023,16:00,
632,Tsukushi,Dead or Alive Xtreme Venus Vacation,08.10.2023,16:20,
633,Camus,Fire Emblem: Shadow Dragon and the Blade of Light,08.10.2023,16:40,
634,Mina Misasa,The Orbital Children,08.10.2023,16:50,
635,Scarlet,Nikke: Goddess of Victory,08.10.2023,17:20,❤️ 87
636,Goblin Slayer,Goblin Slayer,08.10.2023,17:40,❤️ 286
637,Uramichi Omota,Uramichi Oniisan,08.10.2023,17:50,
638,Jim Crocodile Cook,Yu-Gi-Oh! GX,08.10.2023,18:10,
639,Franken Stein,Soul Eater,08.10.2023,18:20,❤️ 131
640,Saruhiko Fushimi,K-Project,08.10.2023,18:40,
641,Gara,Bastard!!,08.10.2023,18:50,
642,Arthur Hirai,Detective Conan: The Fist of Blue Sapphire,08.10.2023,19:10,
643,Makoto Yuuki,Ensemble Stars!,08.10.2023,19:20,
644,Vipere,Birdie Wing: Golf Girls' Story,08.10.2023,19:40,
645,Xuanzang Sanzang,Fate/Grand Order,08.10.2023,20:00,
646,Uruu Seiren,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,08.10.2023,20:10,
647,Lauda's Dilanza,Mobile Suit Gundam: The Witch from Mercury,08.10.2023,20:30,
648,Denmark,Hetalia: World Series,08.10.2023,20:40,
649,Cerceus,Cautious Hero: The Hero Is Overpowered but Overly Cautious,08.10.2023,21:00,
650,Yuuki,Sword Art Online II,08.10.2023,21:10,❤️ 159
651,Kino,Kino's Journey,08.10.2023,21:30,
652,Sable,The Dawn of the Witch,08.10.2023,21:40,
653,Yui Kamiki,Tribe Nine,08.10.2023,22:00,
654,Midori,Fire Emblem Fates,08.10.2023,22:10,
655,Vane,Granblue Fantasy,08.10.2023,22:40,
656,Rem,Re:ZERO -Starting Life in Another World-,08.10.2023,23:00,❤️ 2453
657,Lucien Renlen,"BASTARD!! -Heavy Metal, Dark Fantasy-",08.10.2023,23:10,
658,Banri Settsu,A3! Season Autumn & Winter,08.10.2023,23:30,
659,Fiona,Dead or Alive Xtreme Venus Vacation,08.10.2023,23:50,
660,Maria Otonashi,Utsuro no Hako to Zero no Maria,09.10.2023,0:00,
661,Ash Lynx,Banana Fish,09.10.2023,0:20,❤️ 296
662,Kyoko Sakura,Puella Magi Madoka Magica,09.10.2023,0:30,❤️ 130
663,Dias,For Whom the Alchemist Exists,09.10.2023,0:50,
664,Suzaku Akai,The iDOLM@STER SideM,09.10.2023,1:00,
665,Santa,Megalo Box,09.10.2023,1:20,
666,Takahashi,The Disastrous Life of Saiki K.,09.10.2023,1:30,
667,Yuan,Shenmue the Animation,09.10.2023,1:50,
668,Grisha Jaeger,Attack on Titan,09.10.2023,2:00,
669,Gundam Mk-II,Mobile Suit Zeta Gundam,09.10.2023,2:20,
670,Fushihara-san,Miss Shachiku and the Little Baby Ghost,09.10.2023,2:30,
671,Narciso Anasui,JoJo's Bizarre Adventure: Stone Ocean,09.10.2023,3:10,❤️ 114
672,Kokoro Tsurumaki,BanG Dream!,09.10.2023,3:20,
673,Shiranui Flare,Hololive: Holo no Graffiti,09.10.2023,3:40,
674,Hello Kitty,Hello Kitty's Animation Theater,09.10.2023,3:50,❤️ 182
675,Carmilla,Fate/Grand Order,09.10.2023,4:10,
676,Pirika Usui,Shaman King,09.10.2023,4:20,
677,Makoto Tsukishiro,Jouran: The Princess of Snow and Blood,09.10.2023,4:50,
678,Mao Isara,Ensemble Stars!,09.10.2023,5:10,
679,Kirie Kanoe,Dusk Maiden of Amnesia,09.10.2023,5:20,
680,Yukiko Amagi,Persona 4 the Animation,09.10.2023,5:40,
681,Prince of Lan Ling,Fate/Grand Order,09.10.2023,5:50,
682,Issei Kuga,TsukiPro the Animation,09.10.2023,6:10,
683,Syaoran,Tsubasa Reservoir Chronicle,09.10.2023,6:30,
684,E.M. Pino,Edens Zero,09.10.2023,6:40,
685,Eve,Black Cat,09.10.2023,7:00,
686,Hidetoshi Dekisugi,Doraemon (1979),09.10.2023,7:30,
687,Megumi Takani,Rurouni Kenshin,09.10.2023,7:40,
688,Tomiko,Hajime no Ippo: The Fighting!,09.10.2023,8:00,
689,Fran,Ascendance of a Bookworm Season 2,09.10.2023,8:10,
690,Umaru Doma,Himouto! Umaru-chan,09.10.2023,8:30,❤️ 257
691,Stella Vermillion,Chivalry of a Failed Knight,09.10.2023,8:40,
692,Ryuichi Hayami,Hajime no Ippo: The Fighting!,09.10.2023,9:00,
693,Yue,Cardcaptor Sakura,09.10.2023,9:30,
694,Keaton,Fire Emblem Fates,09.10.2023,9:50,
695,Riri,Romantic Killer,09.10.2023,10:00,
696,Reisi Munakata,K-Project,09.10.2023,10:20,
697,Ran,Urusei Yatsura,09.10.2023,10:30,
698,Sylvester,Ascendance of a Bookworm Season 3,09.10.2023,10:50,
699,Yuki Rurikawa,A3! Season Spring & Summer,09.10.2023,11:00,
700,Marla,Nomad: Megalo Box 2,09.10.2023,11:20,
701,Sogeking,One Piece,09.10.2023,11:30,❤️ 81
702,Tae Hanazono,BanG Dream!,09.10.2023,11:50,
703,Goda Ryuji,Yakuza 2,09.10.2023,12:20,
704,Jaguar Man,Fate/Grand Order,09.10.2023,12:30,
705,Qiqi,Genshin Impact,09.10.2023,12:50,❤️ 252
706,Florence Nightingale,Fate/Grand Order,09.10.2023,13:00,
707,Leila Mofur,Log Horizon: Destruction of the Round Table,09.10.2023,13:20,
708,Draculaura,Monster High: Kowai-ke Girls,09.10.2023,13:50,
709,Nana Ebina,Himouto! Umaru-chan,09.10.2023,14:10,
710,Asakaze,Sonny Boy,09.10.2023,14:20,
711,Nugen,Mobile Suit Gundam: The Witch from Mercury,09.10.2023,14:50,
712,Shiro,No Game No Life,09.10.2023,15:10,❤️ 838
713,Hollow Ichigo,Bleach,09.10.2023,15:20,❤️ 154
714,Cthuko,Haiyore! Nyaruko-san,09.10.2023,15:40,
715,Shion,That Time I Got Reincarnated as a Slime,09.10.2023,15:50,❤️ 365
716,Miyabi Aizawa,Great Teacher Onizuka,09.10.2023,16:10,
717,Hirano Taiga,Sasaki and Miyano,09.10.2023,16:20,
718,M'Quve,Mobile Suit Gundam,09.10.2023,16:40,
719,Diane,The Seven Deadly Sins,09.10.2023,17:00,❤️ 141
720,Tsubaki Rindo,I-CHU: Halfway Through the Idol,09.10.2023,17:30,
721,Michio Kaga,Harem in the Labyrinth of Another World,09.10.2023,17:40,
722,Lars Ul Metallicana,Bastard!!,09.10.2023,18:00,
723,Hisui Hearts,Tales of Hearts,09.10.2023,18:10,
724,Fjorm,Fire Emblem Heroes,09.10.2023,18:30,
725,Laphicet,Tales of Berseria,09.10.2023,18:40,
726,Suzune Horikita,Classroom of the Elite,09.10.2023,19:00,❤️ 362
727,Ralph Anderson,Hajime no Ippo: Rising,09.10.2023,19:10,
728,Shione Kouzuki,Shinobi no Ittoki,09.10.2023,19:30,
729,Jin Kuzuhara,Jouran: The Princess of Snow and Blood,09.10.2023,19:40,
730,Ayumu Hanada,The Yakuza's Guide to Babysitting,09.10.2023,20:00,
731,Tira,Soulcalibur III,09.10.2023,20:20,
732,Otto,Ascendance of a Bookworm,09.10.2023,20:30,
733,Roy Mustang,Fullmetal Alchemist,09.10.2023,20:50,❤️ 399
734,Rieze,Log Horizon 2,09.10.2023,21:00,
735,Pawoo Nekoyanagi,Sabikui Bisco,09.10.2023,21:20,
736,Riko,Made in Abyss,09.10.2023,21:50,❤️ 73
737,Kotaro Sato,Kotaro Lives Alone,09.10.2023,22:00,❤️ 187
738,Ayane Yano,Kimi ni Todoke - From Me to You,09.10.2023,22:50,
739,Ghislaine Dedoldia,Mushoku Tensei: Jobless Reincarnation,09.10.2023,23:00,❤️ 264
740,Ryouko Sakaki,Food Wars! Shokugeki no Souma,09.10.2023,23:20,
741,Nino Nakano,The Quintessential Quintuplets,09.10.2023,23:40,❤️ 1944
742,Seliph Baldos Chalphy,Fire Emblem: Genealogy of the Holy War,09.10.2023,23:50,
743,Gratianus,Vinland Saga,10.10.2023,0:10,
744,Carmine,Super Crooks,10.10.2023,0:20,
745,Koharu Houen,Miss Kuroitsu from the Monster Development Department,10.10.2023,0:40,
746,Rafinha Bilford,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,10.10.2023,0:50,
747,Subaru Mimura,2.43: Seiin Koukou Danshi Volley-bu,10.10.2023,1:10,
748,Tsukasa Kazuki,Romantic Killer,10.10.2023,1:20,❤️ 74
749,Nastassja Tanaka,Rumble Garanndoll,10.10.2023,1:40,
750,Aina Sahalin,Mobile Suit Gundam 08th MS Team,10.10.2023,1:50,
751,Misumi Ikaruga,A3! Season Spring & Summer,10.10.2023,2:10,
752,Poli,Nikke: Goddess of Victory,10.10.2023,2:20,
753,Ogma,Fire Emblem: Shadow Dragon and the Blade of Light,10.10.2023,2:40,
754,Lobelia Carlini,Sakura Wars: Ecole de Paris,10.10.2023,2:50,
755,Mei Hamano,"More than a Married Couple, but Not Lovers.",10.10.2023,3:10,
756,Asahi Azumane,Haikyuu!!,10.10.2023,3:30,
757,Hilda Valentine Goneril,Fire Emblem: Three Houses,10.10.2023,3:40,
758,Empress of Night,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,10.10.2023,4:00,
759,Rikio Kamamoto,K-Project,10.10.2023,4:10,
760,Souta Kazama,My Senpai is Annoying,10.10.2023,4:30,
761,Yuuji Terushima,Haikyuu!! Second Season,10.10.2023,4:40,
762,Yui Michimiya,Haikyuu!!,10.10.2023,5:00,
763,Miyata's Father,Hajime no Ippo: The Fighting!,10.10.2023,5:10,
764,Joker,Persona 5 the Animation,10.10.2023,5:30,❤️ 657
765,Snow,Combatants Will Be Dispatched!,10.10.2023,5:40,
766,Ojelo Gabel,Mobile Suit Gundam: The Witch from Mercury,10.10.2023,6:00,
